Number,Institution,Group,Password Expiration,Expiration time,"Specific affiliates
72,Alma College,US Regional,Required for all affiliates,1 year,,https://www.alma.edu/wp-content/uploads/2023/07/password-policypdf.pdf,Required for specific affiliates,"Privileged accounts, system administrators, and service accounts",https://www.alma.edu/wp-content/uploads/2023/07/password-policypdf.pdf,No information found,,,Required for specific affiliates,Accounts with priviledged access,,https://www.alma.edu/wp-content/uploads/2023/07/password-policypdf.pdf
73,Benedictine College  ,US Regional,Required for all affiliates,6 months,,https://help.ben.edu/hc/en-us/articles/1500001311841-Reset-Your-Email-Password,Required for all affiliates,,https://help.ben.edu/hc/en-us/articles/1500001311841-Reset-Your-Email-Password,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://help.ben.edu/hc/en-us/articles/360058988853-Multi-Factor-Authentication-MFA 
74,William Jewell College,US Regional,Required for specific affiliates,6 months,Faculty and staff,https://www.jewell.edu/password-policy,Required for all affiliates,,https://www.jewell.edu/password-policy,No information found,,,Recommended,,,https://www.jewell.edu/password-policy
75,Hiram College,US Regional,Required for specific affiliates,90 days,Students,https://helpdesk.hiram.edu/new-students,Required for all affiliates,,https://helpdesk.hiram.edu/wp-content/uploads/2016/01/Change-Your-Password.pdf,Required for all affiliates,,https://helpdesk.hiram.edu/wp-content/uploads/2016/01/Reset-Your-Password.pdf,Required for all affiliates,,Duo,https://helpdesk.hiram.edu/duo-faqs/
76,Lake Superior State University,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
77,Embry-Riddle Aeronautical University--Prescott,US Regional,No information found,,,,Recommended,,https://news.erau.edu/headlines/tips-for-producing-strong-passwords,Required for all affiliates,,https://prescott.erau.edu/admissions/applied-students/ernie,Required for specific affiliates,Students,Duo,https://erau.edu/-/media/files/university/students-gai-registration-instructions-2022.pdf
78,California State University--Maritime Academy,US Regional,Required for all affiliates,1 year,,https://www.csum.edu/it/faq/passwords.html,Required for all affiliates,,https://www.csum.edu/it/security/stagingpagedonotpublish.html,No information found,,,Required for all affiliates,,Duo,https://www.csum.edu/it/security/information-security-campus-services/index.html
79,Carroll College,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
80,Criswell College,US Regional,No information found,,,,No information found,,,No information found,,,Required for specific affiliates,Students,Google Authenticator,https://www.criswell.edu/life-at-criswell/student-services/it-support/
81,Oregon Institute of Technology,US Regional,Required for all affiliates,1 year,,https://www.oit.edu/technology-services/default-account-login-information,Required for all affiliates,,https://www.oit.edu/technology-services/default-account-login-information,Required for all affiliates,,https://ssb-prod.ec.oit.edu/PROD/twbkwbis.P_WWWLogin,No information found,,,
82,Fashion Institute of Design & Merchandising,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
83,College of Idaho,US Regional,Required for all affiliates,1 year,,https://cofi.instructure.com/courses/14732/pages/how-to-change-your-password,Required for all affiliates,,https://cofi.instructure.com/courses/14732/pages/how-to-change-your-password,No information found,,,Required for all affiliates,,Microsoft authenticator,https://cofi.instructure.com/courses/14732/pages/multi-factor-authentification-mfa
84,Brigham Young University--Hawaii,US Regional,No information found,,,,Recommended,,https://oit.byuh.edu/learn/passwords,Required for all affiliates,,https://byuh.teamdynamix.com/TDClient/1902/Portal/KB/ArticleDet?ID=130766,Required for all affiliates,,Duo,https://oit.byuh.edu/learn/2fa
85,Brigham Young University--Idaho,US Regional,Recommended,6 months,,https://td.byui.edu/TDClient/79/ITHelpCenter/Questions/Details/102491,No information found,,,Recommended,,https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11784,Required for all affiliates,,Duo,"https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11648
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11649 "
86,University of Toronto,Canadian,No information found,,,,Recommended,,https://security.utoronto.ca/best-practice-tips/craft-strong-passwords/,Recommended,,https://security.utoronto.ca/services/utorid/faqs/,Required for all affiliates,,Duo,https://security.utoronto.ca/services/utormfa/usage-guide/
87,University of British Columbia,Canadian,Required for all affiliates,1 year,,https://cio.ubc.ca/information-security-standards/U2,Recommended,,https://it.ubc.ca/services/cybersecurity-services/ubc-information-security-office/password-security,Required for all affiliates,,https://it.ubc.ca/services/accounts-passwords/campus-wide-login-cwl/using-password-recovery-system,Required for all affiliates,,Duo,https://it.ubc.ca/services/accounts-passwords/multi-factor-authentication-mfa 
88,McGill University,Canadian,No information found,,,,No information found,,,Recommended,,https://www.mcgill.ca/system-warnings/password-security-questions-reset-unavailable,Required for all affiliates,,Microsoft authenticator,https://www.mcgill.ca/study/2024-2025/university_regulations_and_resources/undergraduate/gi_mcgill_it_policies_regulations#topic_620B63D8D7764F4C9160A82CDC246FF2
89,University of Alberta,Canadian,No information found,,,,Required for all affiliates,,https://myccid.ualberta.ca/help/password-tips,No information found,,,Required for specific affiliates,Faculty & staff,Duo,https://www.ualberta.ca/en/information-services-and-technology/security/multi-factor-authentication-for-faculty-and-staff.html
90,McMaster University,Canadian,Recommended,1 year,,https://informationsecurity.mcmaster.ca/standards/password/,Required for all affiliates,,https://informationsecurity.mcmaster.ca/standards/password/,No information found,,,Required for all affiliates,,Microsoft authenticator,https://office365.mcmaster.ca/mfa/ 
91,Universite de Montreal,Canadian,No information found,,,,Required for all affiliates,,https://identification.umontreal.ca/PopupAuthen/regles.html,No information found,,,No information found,,,
92,University of Calgary,Canadian,No information found,,,,Recommended,,https://it.ucalgary.ca/it-security/passwords-best-practices,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://it.ucalgary.ca/mfa/gettingstarted
93,University of Waterloo,Canadian,Recommended,126 days,,https://uwaterloo.ca/information-systems-technology/about/organizational-structure/information-security-services/password-standards ,Disallowed,,https://uwaterloo.ca/information-systems-technology/about/organizational-structure/information-security-services/password-standards,Required for specific affiliates,Students,https://cs.uwaterloo.ca/twiki/view/CF/HelpDeskGuide,Required for all affiliates,,Duo,https://uwaterloo.ca/the-centre/quest/quest-help
94,University of Ottawa,Canadian,Required for all affiliates,"30 days (sensitive data), 90 days (other data)",,https://www.uottawa.ca/about-us/information-technology/services/account/guidelines,Required for all affiliates,,https://www.uottawa.ca/about-us/information-technology/services/account/guidelines,No information found,,,Required for all affiliates,,MIcrosoft Authenticator,https://www.uottawa.ca/about-us/information-technology/services/security/mfa
95,Western University (University of Western Ontario),Canadian,Recommended,Once or twice a year,,https://ssts.uwo.ca/support/helpdocuments/passwords.html,Required for all affiliates,,https://wts.uwo.ca/identity/passwords/pwpolicy.html,Required for specific affiliates,Alumni,https://alumni.westernu.ca/purple-perks/email-for-life/faq.html,Required for all affiliates,,Duo,https://wts.uwo.ca/mfa/index.html
96,Dalhousie University,Canadian,No information found,,,,Disallowed,,https://myaccount.dal.ca/faq,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://www.dal.ca/dept/its/new/multi-factor-authentication.html 
97,Simon Fraser University,Canadian,Required for all affiliates,1 year,,https://www.sfu.ca/information-systems/announcements-alerts/major-initiatives/university-wide-password-change-initiative.html,Required for specific affiliates,Administrative users,https://www.sfu.ca/information-systems/services/gosfu/staff-access/gosfu-guidelines.html,No information found,,,Required for all affiliates,,LastPass Authenticator,https://sfu.teamdynamix.com/TDClient/255/ITServices/KB/ArticleDet?ID=3986
98,University of Victoria,Canadian,No information found,,,,No information found,,,No information found,,,Required for all affiliates,,Duo,https://www.uvic.ca/systems/netlink/2fa/index.php
99,University of Manitoba,Canadian,Required for all affiliates,1 year,,https://umanitoba.ca/information-services-technology/my-accounts-email/reset-change-password,Required for all affiliates,,https://umanitoba.ca/information-services-technology/my-accounts-email/reset-change-password,Recommended,,https://umanitoba.ca/information-services-technology/my-accounts-email/reset-change-password,Required for all affiliates,,Microsoft Entra,https://umanitoba.ca/information-services-technology/information-security-compliance/um-multi-factor-authentication
100,Laval University,Canadian,No information found,,,,Required for all affiliates,,https://sitescours.monportail.ulaval.ca/portail/modifpassword,No information found,,,Required for all affiliates,,Microsoft authenticator,https://www.fsa.ulaval.ca/en/faculty/services/techno/how-tos-tips/multifactor-authentication/
101,York University - Canada,Canadian,Required for all affiliates,1 year,,https://www.yorku.ca/secretariat/policies/policies/guidelines-and-procedures-for-account-management/,Recommended,,https://www.yorku.ca/uit/student-services/passport-york/,Recommended,,https://www.yorku.ca/uit/student-services/passport-york/,Required for all affiliates,,Duo,https://infosec.yorku.ca/services/two-factor-authentication/
102,Queens University - Canada,Canadian,Required for all affiliates,"1 year (with MFA), 120 days (without MFA)",,https://notify.its.queensu.ca/notification/archived/view/8851,Recommended,,https://www.queensu.ca/traq/tools-faqs/protect-your-documents,Required for all affiliates,,https://queensu.service-now.com/esm?id=kb_article&sys_kb_id=d6c8a3f4475a1610a2a5fe8c416d4349&table=kb_knowledge&searchTerm=password%20reset,Required for all affiliates,,Microsoft authenticator,https://www.queensu.ca/its/service-offerings/multi-factor-authentication
103,University of Saskatchewan,Canadian,No information found,,,,Required for all affiliates,,https://teamdynamix.usask.ca/TDClient/33/Portal/KB/ArticleDet?ID=1765,Recommended,,https://leadership.usask.ca/administration/portfolio/avp-ict/password.php,Required for all affiliates,,Microsoft Authenticator,https://teamdynamix.usask.ca/TDClient/33/Portal/Requests/ServiceOfferingDet?ID=4
104,University of Guelph,Canadian,Recommended,"1 year (user), 180 days (admin/sensitive)",,https://ithelp.uoguelph.ca/policy/password-standard,Required for all affiliates,,https://ithelp.uoguelph.ca/policy/password-standard,Recommended,,https://ithelp.uoguelph.ca/policy/password-standard,Required for all affiliates,,Microsoft Authenticator,https://ithelp.uoguelph.ca/azuremfaenrolment
105,Carleton University,Canadian,No information found,,,,Required for all affiliates,,https://carleton.ca/its/help-centre/accounts-and-passwords/,Recommended,,https://carleton.ca/its/help-centre/reset-your-password/,Required for all affiliates,,Microsoft MFA,https://carleton.ca/its/help-centre/ms-mfa/
106,University of Michigan--Ann Arbor,US Public,No information found,,,,No information found,,,Disallowed,,https://michigan.it.umich.edu/news/2018/02/19/password-reset-process/,Required for all affiliates,,Duo,https://safecomputing.umich.edu/two-factor-authentication
107,University of North Carolina at Chapel Hill,US Public,Required for all affiliates,1 year,,https://policies.unc.edu/TDClient/2833/Portal/KB/ArticleDet?ID=131256,Required for specific affiliates,Affiliates with passwords <17 characters,https://policies.unc.edu/TDClient/2833/Portal/KB/ArticleDet?ID=131256,Required for all affiliates,,https://account.itsapps.unc.edu/onyen,Required for all affiliates,,Duo; Microsoft 365,https://its.unc.edu/2-step/
108,University of Virginia,US Public,Required for all affiliates,1 year,,https://virginia.service-now.com/its?id=itsweb_kb_article&sys_id=2f47ff87dbf6c744f032f1f51d961967,Required for all affiliates,,https://security.virginia.edu/authentication,Recommended,,https://virginia.service-now.com/its?id=itsweb_kb_article&sys_id=2f47ff87dbf6c744f032f1f51d961967,Required for all affiliates,,Duo,https://virginia.service-now.com/its?id=itsweb_kb_article&sys_id=ed7cf747db3ac744f032f1f51d961993
109,"University of California, Davis",US Public,No information found,,,,No information found,,,Required for all affiliates,,https://servicehub.ucdavis.edu/servicehub?id=ucd_kb_article&sysparm_article=KB0000101&spa=1&sys_id=843fde8314a2b100528a2efa044493e2,Required for all affiliates,,Duo,https://servicehub.ucdavis.edu/servicehub?id=ucd_kb_view2&sys_id=35f3dd7493f4529034c5bf5c5cba10f4&spa=1
110,"University of California, San Diego",US Public,No information found,,,,Required for specific affiliates,Faculty and staff,https://support.ucsd.edu/its?id=kb_article_view&sysparm_article=KB0020096,Required for all affiliates,,https://mycas.sandiego.edu/cas/login?service=https%3A%2F%2Fmy.sandiego.edu%3A443%2Fmysandiegoportal%2F,Required for all affiliates,,Duo,https://blink.ucsd.edu/technology/security/services/two-step-login/faq.html#Is-two-step-login-required?
111,University of Florida,US Public,Required for all affiliates,1 year,,https://policy.ufl.edu/policy/authentication-management-policy/,Required for all affiliates,,https://policy.ufl.edu/policy/authentication-management-policy/,No information found,,,Required for all affiliates,,Duo,https://it.ufl.edu/get-connected/multi-factor-authentication/faqs/
112,University of Texas at Austin,US Public,No information found,,,,Required for all affiliates,,https://ut.service-now.com/sp?id=kb_article&number=KB0017093,No information found,,,Required for all affiliates,,Duo,https://ut.service-now.com/sp?id=kb_article&number=KB0018242
113,Georgia Institute of Technology,US Public,Required for all affiliates,"1 year (with MFA), 180 days (without MFA)",,https://policylibrary.gatech.edu/information-technology/password-policy,Required for all affiliates,,https://policylibrary.gatech.edu/information-technology/password-policy,Required for all affiliates,,https://security.gatech.edu/securing-your-password/,Required for all affiliates,,Duo,https://oit.gatech.edu/two-factor-authentication
114,"University of California, Irvine",US Public,Recommended,1 year,,https://uci.service-now.com/sp?id=kb_article_view&sysparm_article=KB0012491,Required for all affiliates,,https://uci.service-now.com/sp?id=kb_article_view&sysparm_article=KB0012491,Required for all affiliates,,https://www.security.uci.edu/how-to/passwords/,Required for all affiliates,,Duo,https://www.oit.uci.edu/services/accounts-passwords/duo/
115,"University of California, Santa Barbara",US Public,Recommended,Periodically,,https://www.identity.ucsb.edu/ucsbnetid/password,Recommended,,https://it.ucsb.edu/general-security-resources/password-best-practices,Required for all affiliates,,https://help.lsit.ucsb.edu/hc/en-us/articles/115000081652-Resetting-UCSBnetID-passwords,Required for all affiliates,,Duo,https://it.ucsb.edu/mfa
116,University of Illinois Urbana-Champaign,US Public,Required for all affiliates,1 year,,https://answers.uillinois.edu/illinois/page.php?id=47504,Required for all affiliates,,https://answers.illinois.edu/illinois/47604,No information found,,,Required for all affiliates,,Duo,https://answers.uillinois.edu/illinois/65947
117,University of Wisconsin--Madison,US Public,Recommended,Periodically,,https://it.wisc.edu/learn/select-manage-protect-passwords/,Recommended,,https://it.wisc.edu/learn/select-manage-protect-passwords/,Required for all affiliates,,https://kb.wisc.edu/iam/page.php?id=4610,Required for all affiliates,,Duo,https://it.wisc.edu/services/duo-multi-factor-authentication-mfa/
118,Rutgers University--New Brunswick,US Public,No information found,,,,No information found,,,Required for all affiliates,,https://netid.rutgers.edu/index.htm,Required for all affiliates,,Duo,https://ithelp.rutgers.edu/sp?sys_kb_id=95aa20551b374a50727cc9d2604bcbc1&id=kb_article_view&sysparm_rank=1&sysparm_tsqueryId=0632739d1b955e10227f84ccdd4bcb68
119,University of Washington,US Public,No information found,,,,Required for all affiliates,,https://uwnetid.washington.edu/agree/,Discouraged,,https://uwconnect.uw.edu/it?id=kb_article_view&sysparm_article=KB0033932,Required for all affiliates,,Duo,https://uwconnect.uw.edu/it?id=kb_article_view&sysparm_article=KB0033875
120,The Ohio State University,US Public,Required for all affiliates,180 days,,https://it.osu.edu/security/services/id-maintenance-passwords,Required for all affiliates,,https://osuitsm.service-now.com/selfservice/kb_view.do?sysparm_article=kb01521,Required for all affiliates,,https://it.osu.edu/news/2020/01/06/forgot-your-password-tips-reset-it,Required for all affiliates,,Duo,https://buckeyepass.osu.edu
121,Purdue University--Main Campus,US Public,Required for all affiliates,1 year,,https://www.purdue.edu/policies/information-technology/s16.html,Required for all affiliates,,https://www.purdue.edu/policies/information-technology/s16.html,Required for all affiliates,,https://service.purdue.edu/TDClient/32/Purdue/KB/ArticleDet?ID=609,Required for all affiliates,,Microsoft MFA,https://it.purdue.edu/newsroom/2022/22121-mfa-requirement.php
122,"University of Maryland, College Park",US Public,Required for all affiliates,1 year,,https://itsupport.umd.edu/itsupport?id=kb_article_view&sysparm_article=KB0016863,Required for all affiliates,,https://itsupport.umd.edu/itsupport?id=kb_article_view&sysparm_article=KB0010288,Disallowed,,https://ask.eng.umd.edu/page.php?id=132685,Required for all affiliates,,Duo,https://itsupport.umd.edu/itsupport?id=kb_article_view&sysparm_article=KB0010770
123,Texas A&M University,US Public,Required for specific affiliates,1 year,Affiliates with passwords less than 16 characters,https://it.tamu.edu/services/accounts-and-id-management/uin-netid-and-passwords/passwords/,Required for all affiliates,,https://it.tamus.edu/sso/faqs/what-are-the-sso-password-requirements/,Recommended,,https://it.tamus.edu/sso/help-system/key-concepts/security/password-help/,Required for specific affiliates,Employees,Duo,https://it.tamus.edu/sso/help-system/key-concepts/security/using-two-factor-authentication/
124,University of Georgia,US Public,Required for specific affiliates,"90 days (admin), 180 days (user)",Affiliates with MFA not enabled,https://policy.uga.edu/policies/#/programs/HJe8T3sH6?bc=true&bcCurrent=Password%20Policy&bcGroup=Information%20Technology%20&bcItemType=programs,Required for all affiliates,,https://policy.uga.edu/policies/#/programs/HJe8T3sH6?bc=true&bcCurrent=Password%20Policy&bcGroup=Information%20Technology%20&bcItemType=programs,Required for all affiliates,,https://eits.uga.edu/access_and_security/infosec/cybersecurity_awareness/sqaps/,Required for all affiliates,,Duo,https://eits.uga.edu/access_and_security/infosec/tools/archpass/
125,Virginia Tech,US Public,Required for all affiliates,1 year,,https://4help.vt.edu/sp?id=kb_article&sysparm_article=KB0010084&sys_kb_id=22e3b297472fd6100aa0c528c26d433b&spa=1,Required for specific affiliates,Affiliates with short password only,https://it.vt.edu/projects/accounts/passphrase.html,No information found,,,Required for all affiliates,,Duo,https://4help.vt.edu/sp?id=kb_article&sysparm_article=KB0010700&sys_kb_id=faf88bc187c8d218dd17426acebb35df&spa=1
126,Spelman College,US HBCU,No information found,,,,Required for all affiliates,,https://bluemail2.spelman.edu/stsnotice.nsf/463d3efea68ac4a485258196004a59b3/987d1cf1f2c23092852584e800755ed7,No information found,,,Recommended,,Microsoft Authenticator,https://sts.spelman.edu/itcatalog/?q=content/multi-factor-authentication
127,Howard University,US HBCU,No information found,,,,No information found,,,Required for all affiliates,,https://technology.howard.edu/training-resources/self-service-password-reset,Required for all affiliates,,Microsoft,https://technology.howard.edu/articles/self-service-password-reset-sspr-and-mfa-device-registration
128,Florida A&M University,US HBCU,Required for all affiliates,90 days,,https://www.famu.edu/administration/campus-services/information-technology-services/about-its/information-security/index.php,Required for all affiliates,,https://www.famu.edu/administration/campus-services/information-technology-services/pdf/ITSPasswordStandard-2018.pdf,Required for all affiliates,,https://www.famu.edu/administration/campus-services/information-technology-services/about-its/helpdesk/password-reset-manager.php,Required for all affiliates,,Duo,https://www.famu.edu/administration/campus-services/information-technology-services/mfa/index.php
129,Tuskegee University,US HBCU,Recommended,30 days,,https://www.tuskegee.edu/student-life/office-of-information-technology/information-technology-usage-policies-and-procedures,Required for all affiliates,,https://www.tuskegee.edu/student-life/office-of-information-technology/information-technology-usage-policies-and-procedures,No information found,,,No information found,,,
130,Morehouse College,US HBCU,Required for specific affiliates,90 days,Students,https://news.morehouse.edu/inside-morehouse/step-by-step-admissions-guide-faq,No information found,,,No information found,,,Required for all affiliates,,Okta,https://morehouse.edu/hubfs/22200391/Files/PDFs/Okta_MFA_03-24-23.pdf
131,Xavier University of Louisiana,US HBCU,No information found,,,,Required for all affiliates,,https://www.xula.edu/assets/passwordmanagementtoolguide.pdf,No information found,,,Required for all affiliates,,Microsoft 365,https://www.xula.edu/admissions/undergraduate-admission/visitusundergraduate/prospective-student-account-activation-spring-2023-2.pdf
132,Hampton University,US HBCU,Required for specific affiliates,90 days,Students,https://home.hamptonu.edu/cit/wp-content/uploads/sites/8/2024/02/TechRef.pdf,No information found,,,Required for specific affiliates,Students,https://home.hamptonu.edu/cit/wp-content/uploads/sites/8/2024/02/TechRef.pdf,Required for specific affiliates,Students,,https://home.hamptonu.edu/cit/wp-content/uploads/sites/8/2024/02/TechRef.pdf
133,North Carolina A&T State University,US HBCU,Recommended,Periodically,,https://hub.ncat.edu/administration/its/telework-support/security-guidelines.php,Recommended,,https://hub.ncat.edu/administration/its/telework-support/security-guidelines.php,No information found,,,Required for specific affiliates,Students,Microsoft 365,https://hub.ncat.edu/administration/its/index.php
134,Delaware State University,US HBCU,Required for all affiliates,90 days,,https://www.desu.edu/about/administration/information-technology/webmail,Required for all affiliates,,https://www.desu.edu/sites/flagship/files/document/31/08-06_password_policy.pdf,Required for all affiliates,,https://www.desu.edu/sites/flagship/files/document/31/08-06_password_policy.pdf,No information found,,,
135,Morgan State University,US HBCU,Required for all affiliates,1 year,,https://www.morgan.edu/technologyfaq,No information found,,,Required for all affiliates,,https://www.morgan.edu/technologyfaq,Required for all affiliates,,Duo,https://www.morgan.edu/2fa